operation,numObjects,duration,cpuUsage,memoryUsage
deleteMultipleTodos,1,1026,0.0,0
deleteMultipleTodos,200,2816,24.694170227304596,0
deleteMultipleTodos,400,4136,2.0377516682735646,0
deleteMultipleTodos,600,6840,0.0,0
deleteMultipleTodos,800,8782,1.3837103616261164,43685848
deleteMultipleTodos,1000,10250,0.0,0
deleteMultipleTodos,1200,12532,0.0,0
updateTodoPutPass,1,1019,0.0,0
updateTodoPutPass,200,2637,42.37929369305763,37748736
updateTodoPutPass,400,3526,8.725109685672047,0
updateTodoPutPass,600,4381,5.3913883784233825,7657008
updateTodoPutPass,800,6010,17.198750428100485,0
updateTodoPutPass,1000,6585,1.3764367785458305,78066720
updateTodoPutPass,1200,8007,31.57836321320774,16964896
updateTodoPost,1,1022,0.0,0
updateTodoPost,200,2229,0.6072510196304535,35741208
updateTodoPost,400,3987,56.08465812148995,0
updateTodoPost,600,5971,0.0,9557480
updateTodoPost,800,7529,48.08136711945262,44365664
updateTodoPost,1000,7844,0.0,0
updateTodoPost,1200,9272,7.723272065420357,21064688
createMultipleTodos,1,1008,11.763843948828416,0
createMultipleTodos,200,1845,0.0,33554296
createMultipleTodos,400,2631,5.115500743130964,0
createMultipleTodos,600,3393,12.49422036401791,34387512
createMultipleTodos,800,4405,0.6473787688735193,0
createMultipleTodos,1000,4941,11.488919131333853,64399016
createMultipleTodos,1200,5047,6.245475598437715,0
